aid,bvid,cid,comment,created_time,length,play,title
51412513,BV114411v7U9,89990470,1725,2019-05-04 17:14,13:47,452191,【恋爱vlog#11】 平凡的生活值得纪念的瞬间 |两个人四只猫 | 自己做饭 | 打卡星空恋语乌龙茶
53792469,BV124411p78s,94094884,1318,2019-05-27 20:27,08:34,333845,【嫂】回炉重造之欧美妆初尝试| 肿眼泡的眼妆分享 new style make-up
53166705,BV1R4411j7aj,93016568,1487,2019-05-21 18:55,12:19,408965,【嫂】今天是个小学妹|夏日蜜桃夹心软糖妆| GRWM聊聊减肥
53863058,BV1g4411W7ne,94217788,2359,2019-05-28 16:04,13:15,296452,【新加坡vlog】超感慨的一次线下活动 | 亚洲最大的研发中心 | 附加OLAY小白瓶一个月实测
54456607,BV1D4411n7up,95250145,7226,2019-06-03 20:00,06:03,1793985,2019高考加油！UP主联合应援2019年高考
52029321,BV1e4411Y7iY,91053170,11528,2019-05-10 19:02,09:29,506982,【嫂】从新手到老手的进阶换头术 | 三个日常妆容分享 | 200元预算口红top3
52654456,BV1z4411J7ZA,92146002,3895,2019-05-16 21:22,12:32,283997,【嫂】迪士尼vlog |漂亮姐姐和河豚妹妹| 超开心的一天！
54466037,BV1w4411H7fn,95264619,12377,2019-06-03 18:00,11:15,625994,【超燃】百元向 | 我不允许你不知道的国货top9！
54620515,BV154411M7v1,95547609,2377,2019-06-05 16:06,10:57,360014,【嫂】十分钟get日常可出门厌世脸|小松菜奈&水原希子灵感妆 | 原来丧气眼才是放大眼睛的最终奥义
54740001,BV1D4411M7aS,95749890,1123,2019-06-06 21:27,16:12,452259,15家网红店，我居然只花了300元？！带你逛最地道的网红之都-杭州！
55347320,BV1A4411P7iu,96773936,3965,2019-06-12 14:59,11:58,338742,【新手向保姆级】胖仔变女神 | 荷尔蒙增加200％改变气质妆容 | 化妆工具详解
55801330,BV1j441157RW,97539891,6239,2019-06-16 21:18,14:57,477017,【平价向|绝不可错过的618清单】这一波没看就是血亏，看到就是赚到。
57028416,BV1ax411d7qW,99599408,9959,2019-06-27 21:03,16:28,1870139,【讨好型人格？社交0情商？】毕业后才明白的残酷真相 | 干货篇 | 人际交往，你踩过这些雷吗？
57920634,BV1q4411A7oA,101071550,2110,2019-07-05 13:30,08:07,574279,【嫂 】平采娜仿妆 | 国风感红唇妆 | 评论说我像小水，仿了才发现，只有性别像。
58752970,BV1pt411571e,102441150,1425,2019-07-11 18:16,07:20,453380,【1秒都无法离开！0差评好物分享！】 What’s in妇联主任’s  Bag?
59154709,BV1Zt411V7Fd,103086501,820,2019-07-14 17:49,13:36,418182,【在家工作，是一种什么神仙体验？】roomtour＋vlog跟我过一天
34110635,BV1rt411d7nr,59748804,387,2018-10-18 21:50,13:08,100408,【嫂】湖南人在成都  | 爆火建设路小吃一条街 | 湖南全智吃的日常
34177762,BV1Vt411o7DA,59871316,753,2018-10-19 22:07,15:31,172273,【嫂】Roomtour | 一个人三只猫| 生活的仪式感 小户型收纳心得| 晚安视频
35004036,BV1Tb411P7ho,61321373,3350,2018-10-31 18:27,07:13,170276,【嫂】做作精分的自我修养| 宁愿窒息也别买|爆炸好看回购八百年|美瞳分享
36016114,BV1Ut41127hu,63223512,713,2018-11-15 18:13,13:56,223886,【嫂】GRWM瑕疵皮到奶油肌 | 牛奶杏子妆 | 聊聊生活中如何解压
36579241,BV1nt411y7tb,64233493,14143,2018-11-23 17:23,09:33,239850,【痣0】从黄皮到白皮 我经历了啥?！贫民窟女孩美白分享 |低成本 全干货|想白?进来!
36868459,BV19t41197Bm,64753926,1013,2018-11-27 15:00,16:48,181805,【独居日记#01】和我一起过一天 |聊聊考研&高考 如何坚持|
37481870,BV1tt411Q76X,65885502,1347,2018-12-05 19:39,10:03,750333,【嫂】超显白橘子少女日常妆 | 烂脸期最爱的妆容分享|
37861046,BV1bt411q75c,66559739,4966,2018-12-10 16:11,11:46,168740,【嫂】矮子乐 百元增高鞋| 显高显瘦|学生党必看 |6双鞋3个包|马丁靴 高跟鞋 工装鞋 长靴 雪地靴|
37945905,BV1dt411q7MQ,66701490,1285,2018-12-11 20:32,13:23,150532,【独居日记#02】 晨间晚间护肤 |十分钟出门简单妆| 秋冬挚爱产品分享|跟我一起过一天吧~
38457870,BV1Ft411v79V,67599892,2217,2018-12-18 20:26,14:22,334485,【嫂】清透日杂妆|保姆级化妆修图分享 |网骗的自我修养#2
39328365,BV1qt411z7Md,69103620,5161,2018-12-29 20:45,24:03,846376,【嫂】异国恋终于见面啦| 建筑生的恋爱日常 |私奔第一站巴塞罗那|恋爱vlog#02
39994568,BV1yt411x7Qt,70238093,1604,2019-01-05 20:15,12:10,207901,【嫂】边染头边化妆|平价显白发色|新年苹果妆容! |米兰跨年vlog|
38132685,BV1Ft411i7yS,67028932,654,2018-12-14 17:08,09:04,306973,【嫂】拔草?种草?七件爆款棉服测评|不烂大街小众棉服分享| 100~600元|平价学生党|
38889755,BV1et411k71G,68350463,1415,2018-12-24 18:00,11:30,259566,【嫂】异国恋见面，都会带些啥?（〃∀〃）
,,94094884,,,,,
,,91053170,,,,,
,,89990470,,,,,
,,95264619,,,,,
,,96773936,,,,,
,,95547609,,,,,
,,59748804,,,,,
,,95250145,,,,,
,,92146002,,,,,
,,95749890,,,,,
,,59871316,,,,,
,,102441150,,,,,
,,94217788,,,,,
,,101071550,,,,,
,,103086501,,,,,
,,70238093,,,,,
,,68350463,,,,,
,,67028932,,,,,
,,67599892,,,,,
,,66559739,,,,,
,,66701490,,,,,
40432907,BV1qt411p7ez,71012469,2014,2019-01-11 13:30,16:46,304445,【嫂】异国恋私奔第二站♡| 葡萄牙 里斯本|落日|提升幸福感的瞬间|恋爱vlog#03
,,99599408,,,,,
,,69103620,,,,,
41499074,BV15t411b7a3,72877516,1475,2019-01-23 21:11,12:01,261308,【嫂】土系玫瑰色妆容 |新产品上脸实测 |（无广）
43338287,BV16b411m7oE,75966751,3376,2019-02-12 21:14,13:00,414448,【Tony老师绝不会告诉你的5件事】一年漂染⑦次 我的超强护发分享
42260595,BV1ub411k7ad,74180587,5462,2019-01-31 21:32,12:04,584898,【嫂】百元预算| 给自己买啥礼物？| 巨98k惊喜的开箱 |护肤彩妆 上脸第一印象
43871376,BV1wb41117ck,76851364,6690,2019-02-17 19:01,11:41,408628,【我的最爱护肤分享】 熬夜党必看！！
,,65885502,,,,,
42588358,BV1ub411r7Ay,74736865,3998,2019-02-04 11:06,11:30,234152,【嫂】0难度! 乖巧学生妆容| 爆炸开心的视频! grwm聊聊新年计划
,,64233493,,,,,
42958518,BV1nb41167zk,75321176,2647,2019-02-08 18:36,07:42,199288,【纯干货】扁平脸必备| 清透初恋颜vs性感小野猫 | 我的最爱两款妆容分享
,,63223512,,,,,
,,61321373,,,,,
,,97539891,,,,,
41012145,BV1ot411h72b,72037754,10851,2019-01-18 10:40,17:55,1159142,【嫂】致每一个对生活失望的人| 超燃逆袭| 校园霸凌 |讨好型人格|杀不死我的 使我更强大（上）
,,93016568,,,,,
,,64753926,,,,,
43972960,BV1Yb41117XV,77026784,23681,2019-02-18 18:22,10:55,4061547,【70w粉丝，激励计划是多少？】一天花完是什么体验？
44430331,BV1mb411h7Dh,77790634,11890,2019-02-23 10:30,17:38,3878164,【大二经济独立？投资收入过万？我的超强理财习惯分享！】收藏向 | 全干货 | 适用学生党 |我的经验分享
44691144,BV1sb41187ke,78238081,2711,2019-02-25 21:01,08:57,323044,【全线测评】红黑榜 | 烂脸暗疮痘印之光？| 国货药妆创尔美全线测评 | 公平公正
44777382,BV1wb411h7TU,78387175,3217,2019-02-26 21:07,19:02,1041111,【从竞争对手到谈恋爱？】读评论|异国恋Q&A|聊天向
44952641,BV1Pb411b76n,78728465,2137,2019-02-28 21:24,09:13,304124,【五分钟快速出门术】 谁都看不出来我化妆了！|开学日常妆 返校好气色|
45488101,BV1pb411q7xb,79644790,3376,2019-03-06 14:08,21:28,380130,【同居vlog】异地恋|男朋友走的前两天
45610138,BV1Sb411q7fo,79858374,3000,2019-03-07 21:23,21:38,769410,【揭秘！百万博主的家是啥样？】带你来看我的新家！| roomtour | 收纳 |
45976895,BV1bb411e7Rg,80543062,2503,2019-03-11 13:50,16:10,228481,独居日记#03 跟我一起宅一天  |给猫猫洗澡|暴风拆快递| 试妆容 |产品实测
95325421,BV1aE411K7vp,162703749,5439,2020-03-12 18:05,10:56,3420167,第一次穿jk制服给男朋友看，结果居然...
99007785,BV1m741127W1,168993591,1302,2020-03-24 21:48,08:47,364899,【99%的新手党会犯错的底妆技巧！】收藏夹必有我系列！
,,72877516,,,,,
285009114,BV1Dc41187e3,169883036,2516,2020-03-26 17:52,15:31,711800,察言观色10级！张新成在线唱情歌，宝剑嫂彻底失控！【UP！大明星】
97775739,BV1hE411N7Q1,166785041,3136,2020-03-20 19:00,09:23,377131,八分钟教你变成娇俏小女人！
,,74180587,,,,,
98408907,BV1DE411F7fv,167982395,1807,2020-03-22 16:41,13:49,270376,【激动到缺氧】7款全网最火保湿产品分析！养肤散粉？美白精华？敏感皮请进！
,,75966751,,,,,
200124210,BV1vz411b7Ye,170285049,1092,2020-03-27 19:00,09:09,336312,【嫂】黄皮自救指南||穿搭 修图 化妆 防晒！夏天之前一起白成闪电吧！
,,74736865,,,,,
96803062,BV1F7411Z7JL,165265328,12290,2020-03-16 18:36,05:47,2129273,B站唯一敢做这件事的情侣
,,75321176,,,,,
,,76851364,,,,,
327565698,BV1QA41187sk,171245055,1362,2020-03-30 19:00,02:01,433441,我们一黑一白，本来就不该在一起 || 创意mini片
,,72037754,,,,,
752715278,BV1Tk4y1R7C8,175193314,2750,2020-04-07 21:26,08:58,506239,要求男友低成本帮我拍女团照，拍成了个啥？
,,77026784,,,,,
967752377,BV1Ap4y1y7eP,178652827,2275,2020-04-15 16:03,15:11,673602,我的钱都去哪里了？鞋子香水！我恨你们！
882649010,BV1tK4y1r7wk,177761114,1433,2020-04-16 18:00,10:28,694523,男友抢我相机硬要当美妆博主，结果居然...
,,78238081,,,,,
967742015,BV1cp4y1y72p,174192509,2490,2020-04-05 18:00,06:21,1809070,玩大了！一不小心让男朋友给我磕了个头！
967877769,BV12p4y1X7cG,181995082,1760,2020-04-23 10:05,08:08,429587,爆雷！第一次下血本买全套口红，结果居然...
837905975,BV14g4y1z7Wh,183002325,1257,2020-04-25 18:00,12:24,615952,男友控制我的48小时，我再也不玩随机挑战了！！
,,80543062,,,,,
,,79644790,,,,,
,,79858374,,,,,
,,71012469,,,,,
,,78728465,,,,,
,,78387175,,,,,
583042526,BV1tz4y1R7qu,186940908,3727,2020-05-04 19:43,12:01,557927,【嫂】在有限人生，带给我无限幸福感的小玩意！
,,162703749,,,,,
540491516,BV1gi4y1b7xB,184260879,3641,2020-04-28 18:30,08:01,1394679,我傻了，和男朋友互换衣服，他直接把我裙子崩了？
200548300,BV1Tz411q7Ft,185975550,2167,2020-05-02 15:46,08:07,309406,橘发首投！巨无霸显白神仙口红分享！无滤镜无美颜！|| muf全系列自费试色
,,77790634,,,,,
753032443,BV1Tk4y1k7zS,188607606,1379,2020-05-08 20:40,15:33,402611,全网最像谢可寅仿妆！画完都是美少女！【小猪姐姐x宝剑嫂】
925650986,BV1VT4y1u7vD,189839809,1332,2020-05-11 21:03,07:39,733522,男朋友给我染头，找我要2888，给还是不给？
413232847,BV1PV411C7Fq,190643951,2909,2020-05-13 20:05,14:14,613974,给老妈化妆！结果居然！！！太美了吧！
,,170285049,,,,,
925704158,BV1BT4y1u73t,190883073,1223,2020-05-14 16:24,13:09,592746,张雨绮：其实我温柔似水  嫂子不淡定了...【UP！大明星】
,,167982395,,,,,
,,168993591,,,,,
,,166785041,,,,,
,,171245055,,,,,
,,165265328,,,,,
,,169883036,,,,,
285810506,BV1Ef4y127uT,196008186,1190,2020-05-28 18:05,09:26,415273,vlog厦门：3天长胖6斤是什么体验？！
243389030,BV1mv411z7Dt,197574304,1328,2020-06-01 20:06,05:19,793600,一次昂贵的约会，男朋友居然带我来这种地方！
,,183002325,,,,,
413489903,BV1kV411r7gb,199613322,3585,2020-06-07 17:00,10:11,1997234,情侣摆摊一小时收入5000块，当场花完，爽！
,,181995082,,,,,
583434861,BV1Uz4y197Ns,200531524,5265,2020-06-10 12:05,13:24,359949,【嫂】618最值得购买的top7！爆炸好用清单！
328437518,BV1uA411B7sk,200915836,1015,2020-06-11 18:50,04:43,379740,狗：“我可能不是人，但你是真的狗！”
,,174192509,,,,,
668175213,BV1Ra4y1i7Ln,192127571,4818,2020-05-17 18:43,12:12,1556305,微胖女生穿汉服到底可以多性感？！
,,177761114,,,,,
625840299,BV19t4y1C73w,196358167,4049,2020-05-29 17:30,10:13,1463614,我真没想到！在女明星的房间，她给我做了这样的事！
,,175193314,,,,,
795862309,BV1qC4y1p7k9,196821249,2782,2020-05-30 19:49,04:48,458862,揭秘！真正的女明星到底用什么？！！
,,185975550,,,,,
,,184260879,,,,,
,,178652827,,,,,
710920805,BV1BQ4y1P7YC,201197501,859,2020-06-12 17:07,09:21,238868,微胖女生的夏天是什么样？玻璃唇哑光肌甜辣妆！
,,190883073,,,,,
77839188,BV1ZJ411z7nT,133274747,1222,2019-12-03 12:00,06:55,1811512,惊了！百万up主今年最后1个flag竟然是...
77901159,BV1vJ411q7Ej,133363089,947,2019-12-03 18:00,14:17,309799,【嫂】GRWM用新买的彩妆画个妆！无广！一个重大决定！唠唠规划和生活～
,,190643951,,,,,
78055015,BV1WJ411B7Lv,133545222,5513,2019-12-04 21:05,15:02,377840,【爆爽种草&吐槽！双十一快递合集】pr礼包开箱 购物分享！
78403638,BV1qJ411e7QD,134142988,5285,2019-12-07 20:22,11:14,421977,【嫂】两款妆容详解？百元内，神仙化妆工具！
,,189839809,,,,,
79007466,BV1LJ411C7NX,135203284,2472,2019-12-12 21:08,10:36,1111123,包下价值两亿的庄园，130斤贵族小姐的日常！优雅浪漫英式妆～
79628713,BV1PJ411r7kr,136279348,891,2019-12-17 19:11,16:04,489354,【嫂】年度分享｜从贫民窟到伪贵妇，我都买了些啥包？
,,186940908,,,,,
80259665,BV18J411s7JZ,137343569,4962,2019-12-22 21:21,09:54,367997,【嫂】价值万元的圣诞限量款测评合集！
,,188607606,,,,,
81018647,BV1PJ411a75M,138662300,740,2019-12-28 21:05,08:39,452026,【嫂vlog】在零下7°C的故宫，穿还原版绝美古装是什么体验？
,,200915836,,,,,
81208583,BV1AJ411Y7dP,138972346,2124,2019-12-29 23:35,06:54,391239,【R1SE】潜入后台，一起跳抖肩舞是什么体验？星光大赏满足你！
81391725,BV1uJ411h7ng,139294128,1262,2019-12-31 14:45,05:19,1262274,扎心了！原来，UP主们在2020年想要做这些…
,,200531524,,,,,
,,196821249,,,,,
81648572,BV11J411b7e2,139710560,1745,2020-01-01 19:58,07:36,648958,【中国式审美?百年妆造变迁】万元绝版古装 故宫高清实拍！
81768412,BV1aJ411877x,139902788,2417,2020-01-02 19:00,04:04,323889,【嫂】啊啊绝美！AB面妆容！气场？仙气？YSL秋冬色号大赏！
,,199613322,,,,,
82600222,BV1uJ411G7dR,141317150,1079,2020-01-08 21:30,16:35,384278,【嫂】2020计划，过年我准备带啥回家？|护肤&彩妆近期汇总
82866963,BV1vJ411H7mb,141767851,5580,2020-01-10 20:36,05:26,7991712,偷偷在男朋友被子下面放100个尖叫鸡，他回家后...
,,196358167,,,,,
,,192127571,,,,,
,,197574304,,,,,
,,196008186,,,,,
83708093,BV1UJ41177fM,143183315,1499,2020-01-16 22:00,06:31,573720,【嫂】手残党进！3分钟快速打造无瑕透亮好皮肤！天生好皮soeasy！ft.LUNASOL粉霜
83847658,BV1aJ411E7xy,143358956,2429,2020-01-17 19:40,11:37,704722,粉丝见面会，我被当场单膝下跪逼婚？！我傻了...
,,137343569,,,,,
83984920,BV1F7411q71t,143665320,1236,2020-01-18 18:13,11:03,866341,【嫂】眼睛放大术｜干货汇总之收藏夹必有我系列～超高清 无废话！
85120948,BV1z7411k7wy,145532912,8475,2020-01-26 18:18,10:18,8364967,B站7000w播放能赚多少钱？兑现承诺，一次用完！
,,135203284,,,,,
87391724,BV1N741187Mt,149324807,1344,2020-02-08 12:05,12:34,591380,【嫂】别让女生一个人在家，不然她会...
88036798,BV1w7411t7xy,150334881,1848,2020-02-10 21:24,04:20,403201,【嫂】高级感富贵大小姐妆｜韩剧财阀女一号就是你
,,134142988,,,,,
88209916,BV1t741157fD,150678276,3027,2020-02-11 17:49,05:47,3106012,偷偷在懒人沙发里放满气球，我直接把男友炸飞天...
,,133363089,,,,,
,,133274747,,,,,
,,136279348,,,,,
,,201197501,,,,,
89225453,BV167411J7Xq,152397527,1314,2020-02-15 21:44,06:21,818098,【嫂】四个月！脸终于好了！0踩雷分享！
,,133545222,,,,,
89464415,BV1p7411E7Lz,152802388,1833,2020-02-16 21:43,08:31,293073,【嫂】春天来了？7mins搞定人手必备清爽元气妆！
90333202,BV1X7411A7rN,154270987,3622,2020-02-20 16:50,07:08,911944,男朋友不爱看甜宠剧？打一顿就好了！
,,141767851,,,,,
90907803,BV1i7411c7Dw,155215119,3855,2020-02-23 10:05,07:15,4193359,玩大了！假装砸了男朋友的绝版乐高，结果居然...
91924736,BV1U7411K7qW,156958196,1128,2020-02-26 21:07,04:06,768669,当我送男朋友一瓶790元的护肤品....
92182733,BV147411N7n5,157387451,2073,2020-02-27 21:22,10:39,455814,朋友圈点赞100+网骗妆||五官普通如何将优点最大化？
,,139710560,,,,,
,,139902788,,,,,
,,139294128,,,,,
,,138972346,,,,,
,,141317150,,,,,
92667984,BV1SE411J7AN,158215176,9558,2020-02-29 20:39,14:07,640621,惊！你绝对不知道女生的化妆间到底多恐怖！
,,138662300,,,,,
93388049,BV1FE41147sC,159444816,3694,2020-03-03 18:54,07:23,538524,【嫂】好用又划算 | 38节超值购物清单！平价贵价top4！
,,143183315,,,,,
93902665,BV1jE411W7XG,160319594,987,2020-03-05 17:05,11:52,650162,鸩凫虖峄…满屏生僻字？“脱线女孩”祖鹅在线求放过！【UP！大明星】
