aid,bvid,cid,comment,created_time,date,day,hour_min,length,month,play,time,title,year
81018647,BV1PJ411a75M,138662300,740,1577538345,2019-12-28,28,21:05,08:39,12,452026,2019-12-28 21:05,【嫂vlog】在零下7°C的故宫，穿还原版绝美古装是什么体验？,2019
81391725,BV1uJ411h7ng,139294128,1262,1577774708,2019-12-31,31,14:45,05:19,12,1262280,2019-12-31 14:45,扎心了！原来，UP主们在2020年想要做这些…,2019
78403638,BV1qJ411e7QD,134142988,5285,1575721352,2019-12-07,07,20:22,11:14,12,421981,2019-12-07 20:22,【嫂】两款妆容详解？百元内，神仙化妆工具！,2019
81208583,BV1AJ411Y7dP,138972346,2124,1577633754,2019-12-29,29,23:35,06:54,12,391245,2019-12-29 23:35,【R1SE】潜入后台，一起跳抖肩舞是什么体验？星光大赏满足你！,2019
79007466,BV1LJ411C7NX,135203284,2472,1576156092,2019-12-12,12,21:08,10:36,12,1111126,2019-12-12 21:08,包下价值两亿的庄园，130斤贵族小姐的日常！优雅浪漫英式妆～,2019
80259665,BV18J411s7JZ,137343569,4962,1577020890,2019-12-22,22,21:21,09:54,12,367998,2019-12-22 21:21,【嫂】价值万元的圣诞限量款测评合集！,2019
81648572,BV11J411b7e2,139710560,1745,1577879927,2020-01-01,01,19:58,07:36,01,648966,2020-01-01 19:58,【中国式审美?百年妆造变迁】万元绝版古装 故宫高清实拍！,2020
79628713,BV1PJ411r7kr,136279348,891,1576581091,2019-12-17,17,19:11,16:04,12,489357,2019-12-17 19:11,【嫂】年度分享｜从贫民窟到伪贵妇，我都买了些啥包？,2019
81768412,BV1aJ411877x,139902788,2417,1577962857,2020-01-02,02,19:00,04:04,01,323889,2020-01-02 19:00,【嫂】啊啊绝美！AB面妆容！气场？仙气？YSL秋冬色号大赏！,2020
82600222,BV1uJ411G7dR,141317150,1079,1578490222,2020-01-08,08,21:30,16:35,01,384282,2020-01-08 21:30,【嫂】2020计划，过年我准备带啥回家？|护肤&彩妆近期汇总,2020
82866963,BV1vJ411H7mb,141767851,5580,1578659808,2020-01-10,10,20:36,05:26,01,7991730,2020-01-10 20:36,偷偷在男朋友被子下面放100个尖叫鸡，他回家后...,2020
83847658,BV1aJ411E7xy,143358956,2429,1579261205,2020-01-17,17,19:40,11:37,01,704723,2020-01-17 19:40,粉丝见面会，我被当场单膝下跪逼婚？！我傻了...,2020
83708093,BV1UJ41177fM,143183315,1499,1579183219,2020-01-16,16,22:00,06:31,01,573730,2020-01-16 22:00,【嫂】手残党进！3分钟快速打造无瑕透亮好皮肤！天生好皮soeasy！ft.LUNASOL粉霜,2020
83984920,BV1F7411q71t,143665320,1236,1579342432,2020-01-18,18,18:13,11:03,01,866354,2020-01-18 18:13,【嫂】眼睛放大术｜干货汇总之收藏夹必有我系列～超高清 无废话！,2020
85120948,BV1z7411k7wy,145532912,8475,1580033885,2020-01-26,26,18:18,10:18,01,8365091,2020-01-26 18:18,B站7000w播放能赚多少钱？兑现承诺，一次用完！,2020
87391724,BV1N741187Mt,149324807,1344,1581134715,2020-02-08,08,12:05,12:34,02,591381,2020-02-08 12:05,【嫂】别让女生一个人在家，不然她会...,2020
60056601,BV1Wt411E715,104583021,2804,1563674455,2019-07-21,21,10:00,09:13,07,306469,2019-07-21 10:00,【黑历史仿妆】八年前最in妆容大赏！非主流的mini vlog |外加近期护肤分享|,2019
